4.94006	3.08192	-1.00000
4.77382	3.28124	-1.00000
4.62014	3.13876	-1.00000
5.07744	3.66845	-1.00000
5.41562	3.99428	-1.00000
4.64515	3.47066	-1.00000
5.01138	3.44916	-1.00000
4.48141	2.99166	-1.00000
4.91768	3.19540	-1.00000
5.45830	3.72635	-1.00000
4.82446	3.46218	-1.00000
4.84613	3.04824	-1.00000
4.32656	3.00986	-1.00000
5.86822	4.01197	-1.00000
5.74210	4.45807	-1.00000
5.48325	3.95333	-1.00000
5.18109	3.58471	-1.00000
5.71465	3.85436	-1.00000
5.14218	3.87093	-1.00000
5.47797	3.45834	-1.00000
5.16126	3.75250	-1.00000
4.64960	3.69595	-1.00000
5.15357	3.30083	-1.00000
4.81424	3.46204	-1.00000
5.00664	3.02460	-1.00000
5.03297	3.49309	-1.00000
5.27778	3.59550	-1.00000
5.26724	3.49784	-1.00000
4.71655	3.24348	-1.00000
4.80914	3.11857	-1.00000
5.48578	3.48978	-1.00000
5.26128	4.10474	-1.00000
5.57980	4.21660	-1.00000
4.92166	3.11112	-1.00000
5.05386	3.20267	-1.00000
5.55847	3.55104	-1.00000
4.94650	3.17626	-1.00000
4.42455	3.05145	-1.00000
5.15742	3.42311	-1.00000
5.00770	3.55858	-1.00000
4.52249	2.32445	-1.00000
4.47849	3.24890	-1.00000
5.09443	3.56220	-1.00000
5.19313	3.82423	-1.00000
4.83497	3.05680	-1.00000
5.18897	3.87605	-1.00000
4.68117	3.22799	-1.00000
5.36549	3.71536	-1.00000
5.01220	3.31587	-1.00000
7.86445	5.30894	1.00000
7.36484	4.73869	1.00000
8.64741	5.08863	1.00000
7.82044	4.91854	1.00000
8.08003	5.09777	1.00000
9.18147	5.06602	1.00000
6.41629	4.51073	1.00000
8.86488	4.93096	1.00000
8.25917	4.51871	1.00000
8.70970	5.63794	1.00000
8.04621	5.26613	1.00000
7.90794	4.78004	1.00000
8.35884	5.05998	1.00000
7.22424	4.52723	1.00000
7.31901	4.86679	1.00000
7.99963	5.25256	1.00000
8.02815	5.01006	1.00000
9.27726	5.86879	1.00000
9.28845	4.61727	1.00000
7.58263	4.27775	1.00000
8.43384	5.20000	1.00000
7.16551	4.85487	1.00000
9.21506	4.89108	1.00000
7.84797	4.73611	1.00000
8.29587	5.32228	1.00000
8.70047	5.27612	1.00000
7.79339	4.89248	1.00000
7.66990	5.03332	1.00000
7.99826	4.89205	1.00000
8.72638	5.00212	1.00000
8.93540	4.80240	1.00000
9.45283	5.89104	1.00000
7.97958	4.81640	1.00000
7.84344	4.88312	1.00000
7.69382	4.68000	1.00000
9.28295	5.01436	1.00000
7.88579	5.45558	1.00000
7.99165	5.17444	1.00000
7.56219	5.03410	1.00000
8.44627	5.17289	1.00000
8.28127	5.13324	1.00000
8.41121	5.14042	1.00000
7.38314	4.73966	1.00000
8.32837	5.29440	1.00000
8.29426	5.34029	1.00000
8.29974	5.02820	1.00000
7.86036	4.58730	1.00000
8.05148	5.01424	1.00000
7.76031	5.41848	1.00000
