0.00000	1.24697
0.05316	2.23564
0.10633	3.05487
0.15949	1.39263
0.21266	2.55830
0.26582	0.33188
0.31899	0.85562
0.37215	0.15516
0.42532	2.59814
0.47848	1.77108
0.53165	0.52512
0.58481	1.67167
0.63797	3.17113
0.69114	1.73204
0.74430	0.56026
0.79747	2.38224
0.85063	-0.58040
0.90380	3.75236
0.95696	2.17593
1.01013	2.30993
1.06329	4.52795
1.11646	1.35904
1.16962	6.50902
1.22278	3.03625
1.27595	3.12413
1.32911	5.57499
1.38228	5.21980
1.43544	7.92450
1.48861	3.99702
1.54177	4.17280
1.59494	2.14573
1.64810	3.84805
1.70127	3.21445
1.75443	3.54162
1.80759	1.48358
1.86076	6.44214
1.91392	1.64357
1.96709	-0.65184
2.02025	1.51769
2.07342	2.10974
2.12658	0.97334
2.17975	3.99532
2.23291	1.76065
2.28608	1.59600
2.33924	2.03698
2.39241	1.08913
2.44557	1.64459
2.49873	-1.98994
2.55190	-1.66519
2.60506	-0.37517
2.65823	-5.71406
2.71139	-4.51655
2.76456	-2.24241
2.81772	-4.24773
2.87089	-2.64435
2.92405	-3.33756
2.97722	-6.82652
3.03038	-4.86584
3.08354	-4.08088
3.13671	-6.02338
3.18987	-8.01727
3.24304	-5.47550
3.29620	-6.01304
3.34937	-6.24262
3.40253	-5.98204
3.45570	-11.44621
3.50886	-5.41960
3.56203	-3.69293
3.61519	-5.28033
3.66835	-5.03060
3.72152	-3.50149
3.77468	-3.09471
3.82785	-1.49671
3.88101	-1.14753
3.93418	-0.76437
3.98734	0.63961
4.04051	2.64880
4.09367	4.34106
4.14684	7.32346
4.20000	14.37707
